usernames           date                                           Content
mypediachannel      23 dec 22, 14:15                               $bkdp cuci piring sampai kemana ini
ninowang            23 dec 22, 14:15                               $nine ayo ndar yg baik hati... digoyang lagi. bisa yuk.
yandrekamidhoralam  23 dec 22, 14:15                               $nine , kemarin $isap berhenti sehari doang sebelum
mingming63          21 dec 22, 22:50                               $lsip gk perlu dijelaskn conviction kita kenapa hold suatu saham, hanya perlu hehehe dan mengsedih
asmarsis            23 dec 22, 14:15                               $ipcm terima kasih, dividen sudah masuk.
permana0410         23 dec 22, 14:15                               $cpro piiiirrrr... km54 dooong
taufikindrwn        23 dec 22, 14:14                               $sico pada cl aja yuk wkwkwk
elma95              22 dec 22, 19:04                               $kkgi sudah tak bilang low nya di 440an, dikira narik garis halusinasi khatulistiwa besok tak doain rebound jahat amat dilongsorin mulu..
marlonsitorus       23 dec 22, 14:14 * edited on 23 dec 22, 14:15  $pada masuk lagi di 212 , 3000 lot
adetioardiansyah    23 dec 22, 13:43                               $wgsh 149 langsung ke banting lagi 141 keras
skittlechan         23 dec 22, 14:14                               $rafi siap2 apa ni
bagusnc12           23 dec 22, 14:14                               $goto perjuangan kejar $goto dari 196 sampai dapet avg 107, tetep kejar terus, sampai 50 wkwk
genn                23 dec 22, 13:55                               $asgr bid bid dulu untuk bekal 2023
eqyelroz            23 dec 22, 10:41                               robert kiyosaki: dont buy paper asset. tipu daya withdraw withdraw $ihsg $elsa $adhi $bbca $goto !!!
satriyowibisono     23 dec 22, 14:13                               $bird
bocahgabut          21 dec 22, 14:48                               mana nih suaranya para pencari warrant seperti saya..hehehe..mungkin bisa sedikit dinikmati hidangkan ini. ada $cbre $elit $soul sama $bmbl
asliansyari         23 dec 22, 14:13                               $beks awal tahun bangun
vedric              23 dec 22, 14:13                               $bsbk ganti supir lah, masa mainnya gini2 aja ? hmmm
fikrykautsar        23 dec 22, 12:08                               $cpro masih mainan supir tua?
richardsoe          23 dec 22, 14:13                               $adro libur bursa efek tanggal berapa om?
keykeyhidayat       23 dec 22, 14:13                               $trin-w hari di tutup hijau ndar
yiuniwijaya         23 dec 22, 09:57                               $inkp $tkim 2023 plastik akan kena cukai.. dan alternatif untuk ramah lingkungan adalah kertas, yang gampang di degradasi alam. paling akan sering bermunculan ajakan mari tanam pohon. ps. yang blm tau bole cek juga, 2023 selain plastik, minuman manis juga akan kena cukai. aturannya sedang dirancang.. silahkan google..
rrr12               23 dec 22, 14:13                               $excl gcg xl buruk sekali, gw masih menunggu itikad baik xl. https://cutt.ly/z0xuye6
rifking             23 dec 22, 14:13                               $esta lumayan 1 lot
rian2290            23 dec 22, 14:06                               $slis
sinaganaga0         23 dec 22, 14:09                               $mktr terserah mau dbwa kemana. yg penting hold smpe luapa ada sham disini
juliusfang          23 dec 22, 14:12                               $trin kejutan sebelum closing ! disclaimer $bsbk $tris $pada $pico
bangsatriya         23 dec 22, 14:12                               $pnbs balik lagi dong main di rentang 90 an, masak saham bagus kek gini ngga bisa diatas 100
rap123              22 dec 22, 16:18 * edited on 22 dec 22, 16:19  awalnya sharing sharing... eh ujung ujungnya buka kelass nyari murid untuk sharing ilmu nyari murid biar cuan indahnya hidup di wakanda $btps $btpn $bssr
beardbadass         23 dec 22, 14:12                               $pada perusahaan bagus jgn kasih ritel entry harga murah ndaarrr.. $ihsg $bris $isat $fren
wildanfahmi         23 dec 22, 09:45                               jangan mau dibilang swing ini belum jalan, spi swing life time, langsung jalan di hari h di rekom. 23 desember 2022
